class_col,class_value,pos_4gram,freq,rank
Polarity,1.0,"('NOUN', 'ADP', 'DET', 'NOUN')",830,1
Polarity,1.0,"('ADP', 'DET', 'NOUN', 'PUNCT')",770,2
Polarity,1.0,"('DET', 'NOUN', 'ADP', 'NOUN')",690,3
Polarity,1.0,"('VERB', 'ADP', 'DET', 'NOUN')",671,4
Polarity,1.0,"('ADP', 'DET', 'NOUN', 'ADP')",527,5
Polarity,1.0,"('VERB', 'DET', 'NOUN', 'ADP')",500,6
Polarity,1.0,"('DET', 'NOUN', 'ADP', 'DET')",492,7
Polarity,1.0,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",410,8
Polarity,1.0,"('NOUN', 'PUNCT', 'DET', 'NOUN')",398,9
Polarity,1.0,"('PRON', 'VERB', 'DET', 'NOUN')",343,10
Polarity,1.0,"('VERB', 'DET', 'NOUN', 'PUNCT')",321,11
Polarity,1.0,"('DET', 'NOUN', 'PRON', 'VERB')",287,12
Polarity,1.0,"('ADJ', 'ADP', 'DET', 'NOUN')",277,13
Polarity,1.0,"('DET', 'NOUN', 'AUX', 'ADJ')",274,14
Polarity,1.0,"('NOUN', 'ADP', 'NOUN', 'ADP')",268,15
Polarity,1.0,"('ADP', 'DET', 'NOUN', 'CCONJ')",252,16
Polarity,1.0,"('PUNCT', 'DET', 'NOUN', 'AUX')",247,17
Polarity,1.0,"('PRON', 'VERB', 'ADP', 'DET')",245,18
Polarity,1.0,"('ADJ', 'PUNCT', 'DET', 'NOUN')",234,19
Polarity,1.0,"('ADP', 'VERB', 'DET', 'NOUN')",230,20
Polarity,2.0,"('NOUN', 'ADP', 'DET', 'NOUN')",1152,1
Polarity,2.0,"('ADP', 'DET', 'NOUN', 'PUNCT')",980,2
Polarity,2.0,"('DET', 'NOUN', 'ADP', 'NOUN')",886,3
Polarity,2.0,"('DET', 'NOUN', 'ADP', 'DET')",765,4
Polarity,2.0,"('ADP', 'DET', 'NOUN', 'ADP')",749,5
Polarity,2.0,"('VERB', 'ADP', 'DET', 'NOUN')",717,6
Polarity,2.0,"('NOUN', 'PUNCT', 'DET', 'NOUN')",582,7
Polarity,2.0,"('VERB', 'DET', 'NOUN', 'ADP')",515,8
Polarity,2.0,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",467,9
Polarity,2.0,"('DET', 'NOUN', 'AUX', 'ADJ')",420,10
Polarity,2.0,"('PUNCT', 'DET', 'NOUN', 'AUX')",389,11
Polarity,2.0,"('ADJ', 'ADP', 'DET', 'NOUN')",385,12
Polarity,2.0,"('ADJ', 'PUNCT', 'DET', 'NOUN')",365,13
Polarity,2.0,"('VERB', 'DET', 'NOUN', 'PUNCT')",363,14
Polarity,2.0,"('DET', 'NOUN', 'PUNCT', 'DET')",358,15
Polarity,2.0,"('PRON', 'VERB', 'DET', 'NOUN')",335,16
Polarity,2.0,"('NOUN', 'ADP', 'NOUN', 'ADP')",330,17
Polarity,2.0,"('PUNCT', 'DET', 'NOUN', 'ADP')",319,18
Polarity,2.0,"('DET', 'NOUN', 'PRON', 'VERB')",305,19
Polarity,2.0,"('DET', 'NOUN', 'ADJ', 'PUNCT')",299,20
Polarity,3.0,"('NOUN', 'ADP', 'DET', 'NOUN')",1069,1
Polarity,3.0,"('ADP', 'DET', 'NOUN', 'PUNCT')",902,2
Polarity,3.0,"('DET', 'NOUN', 'ADP', 'NOUN')",836,3
Polarity,3.0,"('DET', 'NOUN', 'ADP', 'DET')",696,4
Polarity,3.0,"('ADP', 'DET', 'NOUN', 'ADP')",687,5
Polarity,3.0,"('VERB', 'ADP', 'DET', 'NOUN')",629,6
