class_col,class_value,pos_4gram,freq,rank
Region,Baja_CaliforniaSur,"('NOUN', 'ADP', 'DET', 'NOUN')",245,1
Region,Baja_CaliforniaSur,"('ADP', 'DET', 'NOUN', 'PUNCT')",222,2
Region,Baja_CaliforniaSur,"('DET', 'NOUN', 'ADP', 'NOUN')",190,3
Region,Baja_CaliforniaSur,"('ADP', 'DET', 'NOUN', 'ADP')",165,4
Region,Baja_CaliforniaSur,"('DET', 'NOUN', 'ADP', 'DET')",159,5
Region,Baja_CaliforniaSur,"('VERB', 'ADP', 'DET', 'NOUN')",147,6
Region,Baja_CaliforniaSur,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",110,7
Region,Baja_CaliforniaSur,"('VERB', 'DET', 'NOUN', 'ADP')",103,8
Region,Baja_CaliforniaSur,"('DET', 'NOUN', 'AUX', 'ADJ')",102,9
Region,Baja_CaliforniaSur,"('DET', 'NOUN', 'ADJ', 'PUNCT')",99,10
Region,Baja_CaliforniaSur,"('NOUN', 'PUNCT', 'DET', 'NOUN')",99,11
Region,Baja_CaliforniaSur,"('PUNCT', 'DET', 'NOUN', 'AUX')",98,12
Region,Baja_CaliforniaSur,"('ADJ', 'PUNCT', 'DET', 'NOUN')",95,13
Region,Baja_CaliforniaSur,"('NOUN', 'ADP', 'NOUN', 'ADP')",93,14
Region,Baja_CaliforniaSur,"('VERB', 'DET', 'NOUN', 'PUNCT')",84,15
Region,Baja_CaliforniaSur,"('ADJ', 'ADP', 'DET', 'NOUN')",83,16
Region,Baja_CaliforniaSur,"('ADP', 'DET', 'NOUN', 'ADJ')",80,17
Region,Baja_CaliforniaSur,"('NOUN', 'AUX', 'ADJ', 'PUNCT')",70,18
Region,Baja_CaliforniaSur,"('ADP', 'NOUN', 'ADP', 'DET')",63,19
Region,Baja_CaliforniaSur,"('DET', 'ADJ', 'NOUN', 'ADP')",62,20
Region,Chiapas,"('NOUN', 'ADP', 'DET', 'NOUN')",574,1
Region,Chiapas,"('DET', 'NOUN', 'ADP', 'NOUN')",432,2
Region,Chiapas,"('ADP', 'DET', 'NOUN', 'PUNCT')",423,3
Region,Chiapas,"('ADP', 'DET', 'NOUN', 'ADP')",374,4
Region,Chiapas,"('DET', 'NOUN', 'ADP', 'DET')",368,5
Region,Chiapas,"('VERB', 'ADP', 'DET', 'NOUN')",334,6
Region,Chiapas,"('NOUN', 'PUNCT', 'DET', 'NOUN')",315,7
Region,Chiapas,"('DET', 'NOUN', 'AUX', 'ADJ')",268,8
Region,Chiapas,"('VERB', 'DET', 'NOUN', 'ADP')",267,9
Region,Chiapas,"('PUNCT', 'DET', 'NOUN', 'AUX')",263,10
Region,Chiapas,"('ADJ', 'PUNCT', 'DET', 'NOUN')",251,11
