class_col,class_value,pos_4gram,freq,rank
Town,Ajijic,"('ADP', 'DET', 'NOUN', 'PUNCT')",110,1
Town,Ajijic,"('NOUN', 'ADP', 'DET', 'NOUN')",99,2
Town,Ajijic,"('DET', 'NOUN', 'ADP', 'NOUN')",91,3
Town,Ajijic,"('VERB', 'ADP', 'DET', 'NOUN')",72,4
Town,Ajijic,"('DET', 'NOUN', 'ADP', 'DET')",67,5
Town,Ajijic,"('NOUN', 'PUNCT', 'DET', 'NOUN')",59,6
Town,Ajijic,"('ADJ', 'PUNCT', 'DET', 'NOUN')",57,7
Town,Ajijic,"('ADP', 'DET', 'NOUN', 'ADP')",56,8
Town,Ajijic,"('PUNCT', 'DET', 'NOUN', 'AUX')",56,9
Town,Ajijic,"('DET', 'NOUN', 'AUX', 'ADJ')",56,10
Town,Ajijic,"('VERB', 'DET', 'NOUN', 'ADP')",54,11
Town,Ajijic,"('DET', 'NOUN', 'ADJ', 'PUNCT')",44,12
Town,Ajijic,"('NOUN', 'AUX', 'ADJ', 'PUNCT')",40,13
Town,Ajijic,"('PUNCT', 'DET', 'NOUN', 'ADP')",39,14
Town,Ajijic,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",39,15
Town,Ajijic,"('PRON', 'VERB', 'DET', 'NOUN')",38,16
Town,Ajijic,"('ADJ', 'ADP', 'DET', 'NOUN')",35,17
Town,Ajijic,"('DET', 'NOUN', 'AUX', 'ADV')",34,18
Town,Ajijic,"('ADP', 'DET', 'NOUN', 'CCONJ')",32,19
Town,Ajijic,"('VERB', 'DET', 'NOUN', 'PUNCT')",32,20
Town,Atlixco,"('NOUN', 'ADP', 'DET', 'NOUN')",45,1
Town,Atlixco,"('DET', 'NOUN', 'ADP', 'NOUN')",40,2
Town,Atlixco,"('VERB', 'ADP', 'DET', 'NOUN')",33,3
Town,Atlixco,"('ADP', 'DET', 'NOUN', 'PUNCT')",30,4
Town,Atlixco,"('ADP', 'DET', 'NOUN', 'ADP')",29,5
Town,Atlixco,"('VERB', 'DET', 'NOUN', 'ADP')",28,6
Town,Atlixco,"('DET', 'NOUN', 'ADP', 'DET')",23,7
Town,Atlixco,"('NOUN', 'ADP', 'NOUN', 'PUNCT')",18,8
Town,Atlixco,"('DET', 'NOUN', 'AUX', 'ADJ')",17,9
Town,Atlixco,"('ADJ', 'ADP', 'DET', 'NOUN')",17,10
Town,Atlixco,"('DET', 'NOUN', 'ADV', 'ADJ')",16,11
Town,Atlixco,"('PRON', 'VERB', 'DET', 'NOUN')",16,12
Town,Atlixco,"('DET', 'NOUN', 'ADJ', 'PUNCT')",16,13
Town,Atlixco,"('ADJ', 'PUNCT', 'DET', 'NOUN')",15,14
Town,Atlixco,"('DET', 'NOUN', 'PRON', 'VERB')",15,15
Town,Atlixco,"('NOUN', 'ADP', 'NOUN', 'ADP')",15,16
Town,Atlixco,"('ADP', 'VERB', 'DET', 'NOUN')",15,17
Town,Atlixco,"('ADP', 'NOUN', 'ADP', 'NOUN')",14,18
Town,Atlixco,"('DET', 'NOUN', 'ADJ', 'ADP')",14,19
Town,Atlixco,"('ADP', 'DET', 'NOUN', 'CCONJ')",14,20
Town,Bacalar,"('NOUN', 'ADP', 'DET', 'NOUN')",206,1
Town,Bacalar,"('ADP', 'DET', 'NOUN', 'PUNCT')",174,2
Town,Bacalar,"('DET', 'NOUN', 'ADP', 'NOUN')",124,3
